conference.name,conference.id
america east conference,5964283
american athletic conference,3572453
atlantic 10 conference,2300597
atlantic coast conference,8687841
atlantic sun conference,7953133
big 12 conference,8517045
big east conference,1213747
big sky conference,140494
big south conference,4608339
big ten conference,2876814
big west conference,8553761
coastal athletic association,8524608
conference usa,2933739
great west conference,1707815
horizon league,5149963
independent,4240488
ivy league,3819012
metro atlantic athletic conference,8812072
mid-american conference,3240865
mid-eastern athletic conference,5430627
missouri valley conference,7278080
mountain west conference,2008134
northeast conference,1139031
ohio valley conference,2958925
pac-12 conference,3710994
patriot league,853383
southeastern conference,9504063
southern conference,1782371
southland conference,165428
southwest athletic conference,7646693
summit league,3665198
sun belt conference,3927028
west coast conference,3195354
western athletic conference,3585326
eastern conference,4521415
western conference,5813336
