team.id,team.name,school.name
23190,fdu knights,fdu
45547,cleveland state vikings,cleveland state
65497,georgia southern eagles,georgia southern
90855,boston celtics,nba team
92215,montana grizzlies,montana
106669,college of charleston cougars,college of charleston
145155,tulsa golden hurricane,tulsa
217823,drexel dragons,drexel
239144,seton hall pirates,seton hall
259138,bucknell bison,bucknell
271362,south dakota state jackrabbits,south dakota state
283983,grambling tigers,grambling
387463,south florida bulls,south florida
404438,dallas mavericks,nba team
419549,florida atlantic owls,florida atlantic
462743,western carolina catamounts,western carolina
611569,rutgers scarlet knights,rutgers
625828,american eagles,american
627609,golden state warriors,nba team
639608,eastern kentucky colonels,eastern kentucky
647168,syracuse orange,syracuse
663281,western michigan broncos,western michigan
767497,florida state seminoles,florida state
776106,washington wizards,nba team
796835,indiana state sycamores,indiana state
865761,jacksonville state gamecocks,jacksonville state
868271,louisville cardinals,louisville
881245,minnesota timberwolves,nba team
909742,st. john's (ny) red storm,st. john's (ny)
965755,eastern illinois panthers,eastern illinois
1013552,iowa state cyclones,iowa state
1024856,bellarmine knights,bellarmine
1031309,unc greensboro spartans,unc greensboro
1033792,north alabama lions,north alabama
1070310,samford bulldogs,samford
1098541,villanova wildcats,villanova
1103337,oregon ducks,oregon
1128766,texas a&m-corpus christi islanders,texas a&m-corpus christi
1169228,pepperdine waves,pepperdine
1191733,old dominion monarchs,old dominion
1201277,jacksonville dolphins,jacksonville
1203585,california baptist lancers,california baptist
1206073,alabama a&m bulldogs,alabama a&m
1241474,brown bears,brown
1302564,washington state cougars,washington state
1325540,memphis tigers,memphis
1326576,san jose state spartans,san jose state
1326747,ucsb gauchos,uc santa barbara
1352832,grand canyon antelopes,grand canyon
1356740,kansas jayhawks,kansas
1382166,tennessee-martin skyhawks,tennessee-martin
1400060,san diego state aztecs,san diego state
1403800,cal state fullerton titans,cal state fullerton
1413335,lindenwood lions,lindenwood
1415200,murray state racers,murray state
1468367,northern illinois huskies,northern illinois
1551706,nevada wolf pack,nevada
1551783,marist red foxes,marist
1569135,cleveland cavaliers,nba team
1657398,utep miners,utep
1677031,utah state aggies,utah state
1691683,iowa hawkeyes,iowa
1694737,nicholls state colonels,nicholls state
1731221,new mexico lobos,new mexico
1751965,miami (oh) redhawks,miami (oh)
1772294,east carolina pirates,east carolina
1799266,arkansas state red wolves,arkansas state
1905384,marshall thundering herd,marshall
1910335,campbell fighting camels,campbell
1913579,robert morris colonials,robert morris
1925864,mcneese state cowboys,mcneese state
1955464,kansas state wildcats,kansas state
2084746,clemson tigers,clemson
2148134,south carolina state bulldogs,south carolina state
2169156,ohio state buckeyes,ohio state
2182102,notre dame fighting irish,notre dame
2201178,prairie view panthers,prairie view
2208754,wake forest demon deacons,wake forest
2232898,loyola (md) greyhounds,loyola (md)
2270885,saint peter's peacocks,saint peter's
2314394,georgia bulldogs,georgia
2327617,central connecticut state blue devils,central connecticut state
2355762,stony brook seawolves,stony brook
2376992,new orleans privateers,new orleans
2405820,the citadel bulldogs,the citadel
2472689,southern utah thunderbirds,southern utah
2473167,virginia cavaliers,virginia
2475972,rider broncs,rider
2501204,purdue boilermakers,purdue
2518438,new mexico state aggies,new mexico state
2522918,miami (fl) hurricanes,miami (fl)
2535231,fordham rams,fordham
2573475,tennessee state tigers,tennessee state
2591819,georgia tech yellow jackets,georgia tech
2679392,james madison dukes,james madison
2715173,portland state vikings,portland state
2729493,northern arizona lumberjacks,northern arizona
2741142,missouri tigers,missouri
2742995,high point panthers,high point
2776207,lehigh mountain hawks,lehigh
2782738,niagara purple eagles,niagara
2802786,houston rockets,nba team
2816161,kansas city roos,kansas city
2827005,southern illinois salukis,southern illinois
2830494,north carolina a&t aggies,north carolina a&t
2863936,minnesota golden gophers,minnesota
2907896,louisiana-monroe warhawks,louisiana-monroe
2909980,long island university sharks,long island university
2933277,evansville purple aces,evansville
2937583,st. bonaventure bonnies,st. bonaventure
2961333,xavier musketeers,xavier
2983806,sacramento state hornets,sacramento state
3018298,pittsburgh panthers,pittsburgh
3022848,penn state nittany lions,penn state
3032215,monmouth hawks,monmouth
3047804,arkansas-pine bluff golden lions,arkansas-pine bluff
3067010,georgetown hoyas,georgetown
3071482,george mason patriots,george mason
3076348,maryland terrapins,maryland
3088730,austin peay governors,austin peay
3094320,san antonio spurs,nba team
3108358,ucf knights,ucf
3136178,yale bulldogs,yale
3145406,auburn tigers,auburn
3175499,texas a&m-commerce lions,texas a&m-commerce
3176425,brooklyn nets,nba team
3179186,presbyterian blue hose,presbyterian
3235267,stanford cardinal,stanford
3285475,southern illinois-edwardsville cougars,southern illinois-edwardsville
3288995,belmont bruins,belmont
3293971,tulane green wave,tulane
3297918,uc-san diego tritons,uc san diego
3324386,uc-irvine anteaters,uc irvine
3325209,lafayette leopards,lafayette
3356334,portland pilots,portland
3414616,connecticut huskies,connecticut
3424109,florida international panthers,florida international
3424969,quinnipiac bobcats,quinnipiac
3434708,memphis grizzlies,nba team
3484919,houston christian huskies,houston christian
3515550,binghamton bearcats,binghamton
3517311,le moyne dolphins,le moyne
3548055,northeastern huskies,northeastern
3675717,kentucky wildcats,kentucky
3751300,orlando magic,nba team
3786245,abilene christian wildcats,abilene christian
3843022,furman paladins,furman
3868698,towson tigers,towson
3887270,southern methodist mustangs,southern methodist
3989327,delaware state hornets,delaware state
4017089,south carolina gamecocks,south carolina
4041269,merrimack warriors,merrimack
4061182,missouri state bears,missouri state
4100314,bryant bulldogs,bryant
4139429,oakland golden grizzlies,oakland
4150689,phoenix suns,nba team
4170488,new hampshire wildcats,new hampshire
4180319,massachusetts-lowell river hawks,massachusetts-lowell
4256153,southern california trojans,southern california
4270651,creighton bluejays,creighton
4280085,wagner seahawks,wagner
4329967,baylor bears,baylor
4330556,iona gaels,iona
4347084,alabama state hornets,alabama state
4363542,idaho state bengals,idaho state
4412644,little rock trojans,little rock
4422787,north carolina tar heels,north carolina
4513856,milwaukee bucks,nba team
4532045,saint francis (pa) red flash,saint francis (pa)
4540819,mississippi rebels,mississippi
4560842,colgate raiders,colgate
4568163,gardner-webb runnin' bulldogs,gardner-webb
4598608,valparaiso beacons,valparaiso
4612763,navy midshipmen,navy
4677168,utsa roadrunners,utsa
4677764,western kentucky hilltoppers,western kentucky
4713459,indiana pacers,nba team
4781439,morgan state bears,morgan state
