historical.id,season.year,player.id,stat.nbaBrL,stat.nbaBrR,stat.nbaCornL,stat.nbaCornR,stat.nbaTop,stat.collBrL,stat.collBrR,stat.collCornL,stat.collCornR,stat.collTop,stat.fiftBrL,stat.fiftBrR,stat.fiftCornL,stat.fiftCornR,stat.fiftTop,stat.drblCollBrL,stat.drblCollBrR,stat.drblCollTop,stat.drblFiftBrL,stat.drblFiftBrR,stat.drblFiftTop,stat.otmColl,stat.otmFift,stat.laneAgil,stat.shtlRun,stat.threeQuartSprint,stat.standVerLeap,stat.maxVerLeap,stat.benchPress,"stat,bodyFat",stat.handLen,stat.handWid,stat.ht,"stat,htShoe",stat.standReach,"stat,wt",stat.wingspan
1,2004,3707093,,,,,,,,,,,,,,,,,,,,,,,,11.97,,3.65,23.5,27.5,3,0.163,,,83,0,108,253,84
2,2004,6210640,,,,,,,,,,,,,,,,,,,,,,,,12.93,,3.3,31,34.5,6,0.105,,,79,0,106,257,87
3,2004,350873,,,,,,,,,,,,,,,,,,,,,,,,11.37,,3.18,28,33.5,11,0.129,,,76,0,98,200,78
4,2004,980377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.105,,,72,0,95,190,78
5,2004,3683205,,,,,,,,,,,,,,,,,,,,,,,,11.13,,3.21,32.5,35,25,0.08,,,79,0,105,266,87
6,2004,414474,,,,,,,,,,,,,,,,,,,,,,,,11.87,,3.45,25,29,6,0.105,,,82,0,109,234,86
7,2004,4829559,,,,,,,,,,,,,,,,,,,,,,,,10.67,,3.08,26.5,32.5,13,0.073,,,83,0,107,212,83
8,2004,5623784,,,,,,,,,,,,,,,,,,,,,,,,11.77,,3.32,28,34,11,0.08,,,77,0,98,201,77
9,2004,2078685,,,,,,,,,,,,,,,,,,,,,,,,11.4,,3.15,30.5,33.5,7,0.08,,,79,0,105,233,84
10,2004,9485922,,,,,,,,,,,,,,,,,,,,,,,,11.8,,3.3,30.5,33,9,0.08,,,83,0,109,225,88
11,2004,3759492,,,,,,,,,,,,,,,,,,,,,,,,11.33,,3.37,23.5,30.5,15,0.163,,,84,0,110,252,84
12,2004,9522004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.231,,,85,0,114,334,92
13,2004,5702595,,,,,,,,,,,,,,,,,,,,,,,,12.48,,3.22,26.5,33,13,0.148,,,79,0,106,259,85
14,2004,4508222,,,,,,,,,,,,,,,,,,,,,,,,10.91,,3.11,30,39.5,,0.026,,,77,0,102,214,81
15,2004,3843257,,,,,,,,,,,,,,,,,,,,,,,,11.3,,3.36,26.5,32.5,13,0.08,,,84,0,111,250,89
16,2004,9484420,,,,,,,,,,,,,,,,,,,,,,,,12.18,,3.43,28.5,31.5,11,0.08,,,81,0,108,226,88
17,2004,6657612,,,,,,,,,,,,,,,,,,,,,,,,11.09,,3.1,34,40.5,13,0.053,,,74,0,96,190,81
18,2004,3373071,,,,,,,,,,,,,,,,,,,,,,,,11.18,,3.2,33,37,18,0.073,,,82,0,97,229,87
19,2004,2871664,,,,,,,,,,,,,,,,,,,,,,,,11.38,,3.17,34.5,41,15,0.073,,,78,0,100,220,92
20,2004,2616965,,,,,,,,,,,,,,,,,,,,,,,,10.56,,3.08,31.5,35,9,0.067,,,76,0,102,212,83
21,2004,3812353,,,,,,,,,,,,,,,,,,,,,,,,11.38,,3.16,29.5,33.5,,0.141,,,76,0,102,210,83
22,2004,7904415,,,,,,,,,,,,,,,,,,,,,,,,10.72,,3.25,27.5,33,1,0.073,,,72,0,94,165,77
23,2004,7644805,,,,,,,,,,,,,,,,,,,,,,,,11.18,,3.19,30.5,33,9,0.067,,,80,0,107,218,87
24,2004,4936947,,,,,,,,,,,,,,,,,,,,,,,,14.01,,3.55,24.5,32,8,0.214,,,81,0,110,316,90
25,2004,8457111,,,,,,,,,,,,,,,,,,,,,,,,10.62,,3.17,30.5,35,10,0.093,,,70,0,92,194,73
26,2004,7582959,,,,,,,,,,,,,,,,,,,,,,,,11.04,,3.38,23.5,30,8,0.117,,,79,0,102,215,78
27,2004,6825438,,,,,,,,,,,,,,,,,,,,,,,,11.18,,3.3,29.5,34,27,0.086,,,82,0,106,270,85
28,2004,8551576,,,,,,,,,,,,,,,,,,,,,,,,11.18,,3.23,27.5,34,9,0.053,,,81,0,106,199,85
29,2004,5734510,,,,,,,,,,,,,,,,,,,,,,,,11.2,,3.07,29,35.5,14,0.073,,,74,0,96,187,76
30,2004,1554093,,,,,,,,,,,,,,,,,,,,,,,,11.36,,3.25,27,32,10,0.099,,,82,0,107,237,85
31,2004,5610920,,,,,,,,,,,,,,,,,,,,,,,,11.54,,3.24,33,37.5,11,0.06,,,81,0,109,232,87
32,2004,2433938,,,,,,,,,,,,,,,,,,,,,,,,11.75,,3.2,29,34.5,17,0.117,,,77,0,103,224,82
33,2004,2202818,,,,,,,,,,,,,,,,,,,,,,,,11.27,,3.14,26,32.5,13,0.129,,,81,0,105,239,81
34,2004,6931064,,,,,,,,,,,,,,,,,,,,,,,,10.89,,3.09,33,36.5,4,0.06,,,78,0,105,202,86
35,2004,6155194,,,,,,,,,,,,,,,,,,,,,,,,11.72,,3.2,32.5,38.5,15,0.08,,,81,0,107,227,85
36,2004,727643,,,,,,,,,,,,,,,,,,,,,,,,11.18,,3.18,30,37.5,17,0.08,,,76,0,103,217,83
37,2004,6104123,,,,,,,,,,,,,,,,,,,,,,,,11.43,,3.25,29.5,35,10,0.08,,,77,0,101,213,81
38,2004,7282125,,,,,,,,,,,,,,,,,,,,,,,,10.98,,3.1,29,33.5,10,0.053,,,75,0,98,186,78
39,2004,963611,,,,,,,,,,,,,,,,,,,,,,,,10.44,,3.04,32,35.5,15,0.08,,,78,0,97,218,77
40,2004,6344380,,,,,,,,,,,,,,,,,,,,,,,,11.42,,3.47,25.5,31.5,13,0.067,,,79,0,102,211,82
41,2004,457463,,,,,,,,,,,,,,,,,,,,,,,,11.64,,3.38,33.5,36.5,12,0.117,,,79,0,101,205,78
42,2004,3682516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,,,80,0,106,245,84
43,2004,8476911,,,,,,,,,,,,,,,,,,,,,,,,11,,3.28,26,32.5,,0.053,,,74,0,95,167,75
44,2004,9965360,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,12,0.093,,,80,0,104,235,81
45,2004,9487693,,,,,,,,,,,,,,,,,,,,,,,,11.5,,3.15,29.5,37.5,7,0.04,,,73,0,98,163,78
46,2004,9108733,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,28,32,13,0.093,,,73,0,97,184,76
47,2004,8372795,,,,,,,,,,,,,,,,,,,,,,,,11.62,,3.25,30.5,35,6,0.04,,,78,0,103,198,82
48,2004,2569793,,,,,,,,,,,,,,,,,,,,,,,,12.92,,3.31,30,36,7,0.117,,,81,0,108,257,88
49,2004,1058550,,,,,,,,,,,,,,,,,,,,,,,,12.1,,3.5,25.5,27.5,9,0.174,,,82,0,109,261,88
