historical.id,division.id,conference.id,geo.id,team.id,historical.name,team.tag,start.year,end.year
1,393219,4521415,4930956,90855,boston celtics,bos,2003,2024
2,393219,4521415,5128581,9168707,new york knicks,nyk,2003,2024
3,393219,4521415,4560349,8392684,philadelphia 76ers,phi,2003,2024
4,393219,4521415,5128581,3176425,brooklyn nets,bkn,2003,2024
5,393219,4521415,6167865,7965410,toronto raptors,tor,2003,2024
6,7885562,4521415,5263045,4513856,milwaukee bucks,mil,2003,2024
7,7885562,4521415,5150529,1569135,cleveland cavaliers,cle,2003,2024
8,7885562,4521415,4259418,4713459,indiana pacers,ind,2003,2024
9,7885562,4521415,4887398,9588871,chicago bulls,chi,2003,2024
10,7885562,4521415,4990729,5961977,detroit pistons,det,2003,2024
11,5386029,4521415,4167147,3751300,orlando magic,orl,2003,2024
12,5386029,4521415,4164138,5706624,miami heat,mia,2003,2024
13,5386029,4521415,4180439,8775327,atlanta hawks,atl,2003,2024
14,5386029,4521415,4460243,9505072,charlotte hornets,cha,2015,2024
15,5386029,4521415,4140963,776106,washington wizards,was,2003,2024
16,1340945,5813336,4544349,5053096,oklahoma city thunder,okc,2009,2024
17,1340945,5813336,5419384,9310251,denver nuggets,den,2005,2024
18,1340945,5813336,5037649,881245,minnesota timberwolves,min,2005,2024
19,1340945,5813336,5780993,5433852,utah jazz,uta,2005,2024
20,1340945,5813336,5746545,6639810,portland trail blazers,por,2003,2024
21,6079647,5813336,5368361,5421964,los angeles clippers,lac,2003,2024
22,6079647,5813336,5308655,4150689,phoenix suns,phx,2003,2024
23,6079647,5813336,5368361,7131414,los angeles lakers,lal,2003,2024
24,6079647,5813336,5389489,6277004,sacramento kings,sac,2003,2024
25,6079647,5813336,5391959,627609,golden state warriors,gsw,2003,2024
26,254608,5813336,4684888,404438,dallas mavericks,dal,2005,2024
27,254608,5813336,4335045,7538459,new orleans pelicans,nop,2014,2024
28,254608,5813336,4699066,2802786,houston rockets,hou,2005,2024
29,254608,5813336,4641239,3434708,memphis grizzlies,mem,2005,2024
30,254608,5813336,4726206,3094320,san antonio spurs,sas,2005,2024
31,1706702,5813336,4684888,404438,dallas mavericks,dal,2003,2004
32,1706702,5813336,5419384,9310251,denver nuggets,den,2003,2004
33,1706702,5813336,4699066,2802786,houston rockets,hou,2003,2004
34,1706702,5813336,4641239,3434708,memphis grizzlies,mem,2003,2004
35,1706702,5813336,5037649,881245,minnesota timberwolves,min,2003,2004
36,1706702,5813336,4726206,3094320,san antonio spurs,sas,2003,2004
37,1706702,5813336,5780993,5433852,utah jazz,uta,2003,2004
38,5386029,4521415,4460243,9505072,charlotte bobcats,cha,2003,2014
39,393219,4521415,5097459,3176425,new jersey nets,njn,2003,2012
40,254608,5813336,4335045,7538459,new orleans hornets,noh,2003,2005
41,254608,5813336,4544349,7538459,new orleans/oklahoma city hornets,nok,2006,2007
42,254608,5813336,4335045,7538459,new orleans hornets,noh,2008,2013
43,1340945,5813336,5809844,5053096,seattle supersonics,sea,2003,2008
44,0,1213747,5206379,3018298,pittsburgh panthers,,2004,2013
45,0,1213747,4843786,3414616,connecticut huskies,,2004,2024
46,0,1213747,5140405,647168,syracuse orange,,2004,2013
47,0,1213747,4932957,9652753,boston college eagles,,2004,2005
48,0,1213747,8469294,2182102,notre dame fighting irish,,2004,2013
49,0,1213747,4747845,5209094,virginia tech hokies,,2004,2004
50,0,1213747,5101717,611569,rutgers scarlet knights,,2004,2013
51,0,1213747,4815352,8796624,west virginia mountaineers,,2004,2012
52,0,1213747,4151871,2522918,miami (fl) hurricanes,,2004,2004
